APD,Group
1.9021593219514445,Adipose
1.9823782892373187,Adipose
1.8671531072189758,Adipose
1.9139710434772523,Adipose
1.7217769332826875,Adipose
1.839200144692159,Adipose
1.7936634583238993,Adipose
1.7703791727805414,Adipose
1.7179124413407358,Adipose
1.8747975512905246,Adipose
2.060539482172487,Adrenal Gland
1.9464029430359802,Adrenal Gland
1.8016844573720303,Adrenal Gland
1.966493002604919,Adrenal Gland
1.838729121286759,Adrenal Gland
1.7660821012440968,Adrenal Gland
1.8532026843423535,Adrenal Gland
1.7638164012123327,Adrenal Gland
2.028371997633212,Adrenal Gland
1.9810783533060239,Adrenal Gland
1.7349756472209354,Bone Marrow
2.0030626608026427,Bone Marrow
2.0047067492852926,Bone Marrow
1.9154291256774258,Bone Marrow
1.934922532811395,Bone Marrow
1.8112461288804398,Bone Marrow
1.9398391610263719,Bone Marrow
2.008344037614633,Bone Marrow
1.9288907543917642,Bone Marrow
1.9155968025059733,Bone Marrow
1.6255627397940684,Cortex
1.7869996378098747,Cortex
1.837943306953085,Cortex
1.7974163529277323,Cortex
1.7968283839118726,Cortex
1.654987226941576,Cortex
1.770733675872432,Cortex
1.8561989535168542,Cortex
1.7603170648319209,Cortex
1.7959540101389158,Cortex
2.142671058447551,Colon
2.126274575514543,Colon
2.1669851633261383,Colon
2.092447152961106,Colon
2.2285696305250307,Colon
2.0333553801287154,Colon
2.089773426806613,Colon
2.289548131681906,Colon
2.218943598484923,Colon
2.068800589334097,Colon
1.942562306835205,Duodenum
1.6333736267292385,Duodenum
1.8956254331326183,Duodenum
1.7080800607100843,Duodenum
1.7885443517536443,Duodenum
1.7158976984627374,Duodenum
1.6112982450717253,Duodenum
1.7161776932434445,Duodenum
1.7016708340234332,Duodenum
1.7287604651936017,Duodenum
1.552529088145992,Endometrium
1.8394780583586468,Endometrium
1.735534861373171,Endometrium
1.808620700243101,Endometrium
1.8253766437863876,Endometrium
1.7836836174782826,Endometrium
2.0150532517278905,Endometrium
1.6101383558914057,Endometrium
1.72399655475108,Endometrium
1.743217957358378,Endometrium
1.9362429686890477,Esophagus
1.7588370014358583,Esophagus
1.8075319867375372,Esophagus
1.6843750680264589,Esophagus
1.7983230198553264,Esophagus
1.9419484506147044,Esophagus
1.7255703480975046,Esophagus
1.8958965797068046,Esophagus
1.8772154445353322,Esophagus
1.7957244771016798,Esophagus
1.7817765968221269,Fallopian Tube
1.806846806355302,Fallopian Tube
1.7771136939505618,Fallopian Tube
1.721188843683163,Fallopian Tube
1.8939078032242807,Fallopian Tube
1.7893815316997996,Fallopian Tube
1.7533512569728842,Fallopian Tube
1.6550394972940135,Fallopian Tube
1.7443521107703488,Fallopian Tube
1.8560171001386039,Fallopian Tube
1.761588658219166,Gallbladder
1.7541052787517895,Gallbladder
1.7596919997560803,Gallbladder
1.7684280117415514,Gallbladder
1.6550651852343181,Gallbladder
1.8242540872279946,Gallbladder
1.7417490174804515,Gallbladder
1.9040304149281042,Gallbladder
1.695346941131404,Gallbladder
1.6952117033388137,Gallbladder
1.8549875526048911,Heart
1.9019186304129188,Heart
1.892616373965255,Heart
1.8195421870755883,Heart
2.023622663618783,Heart
1.8743310038549945,Heart
1.7306337449482416,Heart
1.7931178531257128,Heart
1.847213359120953,Heart
1.8199866188207943,Heart
1.7552648826445203,Kidney
1.7548757468233933,Kidney
1.844297999305352,Kidney
1.7453472318218506,Kidney
1.7987339797662032,Kidney
1.8615990150823671,Kidney
1.8083394810483842,Kidney
1.9389876352689326,Kidney
1.752269800203375,Kidney
1.9325663675456515,Kidney
1.7915725807921679,Liver
1.7353243942637928,Liver
1.638723940438469,Liver
1.7487849210677344,Liver
1.8107454931421327,Liver
1.676548828316016,Liver
1.6731413182158394,Liver
1.780188414421231,Liver
1.6675185760164652,Liver
1.7913499339740266,Liver
1.6034976327775425,Lung
1.6139297904038494,Lung
1.5448324700267637,Lung
1.702605794960952,Lung
1.6989121565379617,Lung
1.526191718055322,Lung
1.5666298006036388,Lung
1.6274221647888658,Lung
1.6537507661754387,Lung
1.8210699790689304,Lung
1.764522000971158,Lymphatic
1.8628519316725747,Lymphatic
1.93012932313274,Lymphatic
1.690152647314837,Lymphatic
1.8182133399975213,Lymphatic
1.974745357093065,Lymphatic
1.6873558638239599,Lymphatic
1.8679559126523158,Lymphatic
1.7286189736729316,Lymphatic
1.858584311942171,Lymphatic
1.578761844876688,Ovary
1.6984840067335478,Ovary
1.8539162076888074,Ovary
1.7061692754529107,Ovary
1.7959980337605406,Ovary
1.7696049373252007,Ovary
1.8013834118793486,Ovary
1.9235269758717457,Ovary
1.998861634936208,Ovary
1.8225643144772834,Ovary
1.9147125723822005,Placenta
1.8365990965889283,Placenta
1.798960431098884,Placenta
1.6613895378360442,Placenta
1.8573638465759559,Placenta
1.7297931700612013,Placenta
1.8959683847727609,Placenta
1.6487379533964646,Placenta
1.7756909255521338,Placenta
1.7825866968329602,Placenta
1.8902923760943267,Prostate
1.7994504522192316,Prostate
2.0242173955855263,Prostate
2.004742941330217,Prostate
1.9017178489494897,Prostate
2.160650926544982,Prostate
2.0393709751084343,Prostate
1.8978246052613963,Prostate
1.892656635477049,Prostate
2.0676550081966356,Prostate
1.6578353587502568,Rectum
1.6242581252237382,Rectum
1.5893228197822566,Rectum
1.7633862153431767,Rectum
1.6632817417159294,Rectum
1.7369582051788703,Rectum
1.6505530966134747,Rectum
1.7430492517334533,Rectum
1.7365710276349886,Rectum
1.7910329460130967,Rectum
2.020176750545977,Salivary Gland
2.1173591598014587,Salivary Gland
1.9865345208302114,Salivary Gland
2.088195460234054,Salivary Gland
2.1348440488530627,Salivary Gland
1.9289732460760192,Salivary Gland
1.9591130364459022,Salivary Gland
2.2070717261133135,Salivary Gland
2.111019966737203,Salivary Gland
1.9845692835188862,Salivary Gland
1.8072128501374503,Skeletal Muscle
1.7869429394228324,Skeletal Muscle
1.8724096386922537,Skeletal Muscle
1.8290619852656227,Skeletal Muscle
1.802650348152537,Skeletal Muscle
1.6774794682724221,Skeletal Muscle
1.8857833791597323,Skeletal Muscle
1.776194572272892,Skeletal Muscle
1.742079006503057,Skeletal Muscle
1.6221000931071978,Skeletal Muscle
1.9186690074815396,Small Intestine
1.8926453044070721,Small Intestine
1.8031367251272319,Small Intestine
1.91936860264651,Small Intestine
1.7945241629848043,Small Intestine
1.796055005510567,Small Intestine
1.922837945650427,Small Intestine
1.8519275484438666,Small Intestine
1.8799935771779541,Small Intestine
1.6953007239494313,Small Intestine
1.7028015206072746,Smooth Muscle
1.5842155249358576,Smooth Muscle
1.7913373113938968,Smooth Muscle
1.636862268627038,Smooth Muscle
1.645760350310915,Smooth Muscle
1.7041800143754569,Smooth Muscle
1.7086351208694277,Smooth Muscle
1.586045397854156,Smooth Muscle
1.7377531763369247,Smooth Muscle
1.57894299709888,Smooth Muscle
1.593820304641631,Spleen
1.5587604652757359,Spleen
1.5101206936445597,Spleen
1.7285746485138755,Spleen
1.461420088137793,Spleen
1.8787646112422496,Spleen
1.6443225462861317,Spleen
1.4813044811747123,Spleen
1.668407226244386,Spleen
1.6759696964394175,Spleen
1.7823764701342992,Stomach
1.8540509137456431,Stomach
1.816314308937962,Stomach
1.8761736774756532,Stomach
1.8712755535607346,Stomach
1.8466498986971696,Stomach
1.8365075865611267,Stomach
1.8313372613595498,Stomach
2.046191065532523,Stomach
1.839454516788031,Stomach
1.7659124612080008,Testis
1.7853962853777354,Testis
1.8800751784712981,Testis
1.8261157290507462,Testis
1.8120354843210649,Testis
1.6797527444701306,Testis
1.8085910251113904,Testis
1.8390245102114442,Testis
1.7859751594540518,Testis
1.8593000006089853,Testis
1.8069739521005326,Thyroid
1.7803633487904384,Thyroid
1.7456405798083698,Thyroid
1.8109500549746325,Thyroid
1.7380317769659392,Thyroid
1.6604927178340334,Thyroid
1.720085634931532,Thyroid
1.763652492332748,Thyroid
1.7783702102153056,Thyroid
1.841380000112841,Thyroid
2.0173869464218033,Tonsil
2.0079112563276826,Tonsil
2.101292409664813,Tonsil
1.9243116770606332,Tonsil
2.1407676738074315,Tonsil
2.0842984169839327,Tonsil
1.8729139726604906,Tonsil
2.0067856372438198,Tonsil
2.093111127026094,Tonsil
2.1699698058932984,Tonsil
1.894234703299334,Bladder
1.9194295816040716,Bladder
1.7392127841960292,Bladder
2.0018023177096302,Bladder
1.93692402209029,Bladder
1.8536104739237047,Bladder
1.8889566903225128,Bladder
1.9798402620352242,Bladder
2.046298346944925,Bladder
2.003338931202528,Bladder
1.9328393351316189,Appendix
1.802393689184372,Appendix
1.8501932760231459,Appendix
1.8677941165707153,Appendix
1.926932343007893,Appendix
1.7889849699996305,Appendix
2.064442836141012,Appendix
1.9729929378638842,Appendix
1.8076247658540152,Appendix
1.7652278434778519,Appendix
1.836888918165929,Skin
1.811924105848107,Skin
1.649494060120649,Skin
1.8340085174818184,Skin
1.7378874524315548,Skin
1.8737777138754133,Skin
1.7364659461108822,Skin
1.7394695736887587,Skin
1.5835099486005446,Skin
1.7621923770217285,Skin
