Tissue,Enriched Genes, Enhanced Genes, Elevated Genes
adipose,10,88,127
adrenal,20,162,195
appendix,1,127,156
marrow,55,264,504
cortex,209,749,958
colon,0,80,69
duodenum,13,213,167
endometrium,1,85,309
esophagus,32,175,183
fallopian,33,278,421
gallbladder,8,110,141
heart,18,102,98
kidney,40,185,172
liver,92,211,229
lung,12,110,175
lymph,1,182,426
ovary,6,145,502
pancreas,9,48,33
placenta,55,233,323
prostate,21,125,204
rectum,6,110,88
salivary,22,71,67
skeletalmuscle,55,173,175
skin,82,311,397
smallintestine,4,194,160
smoothmuscle,0,62,124
spleen,9,222,434
stomach,16,100,89
testis,712,1466,1910
thyroid,19,173,813
tonsil,17,253,244
bladder,8,102,93
total,1586,6909,9986